"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения любого продукта на странице Product","477","checkProductPage","Surefire suite","Thu Dec 12 17:23:32 GMT 2024","passed","Thu Dec 12 17:23:32 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkProductPage"
"Проверка сообщения об успешном завершении покупки","2342","CheckCompleteCheckout","Surefire suite","Thu Dec 12 17:23:04 GMT 2024","passed","Thu Dec 12 17:23:06 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","CheckCompleteCheckout"
"Проверка удаления продукта из корзины","10641","checkRemoveProductFromCart","Surefire suite","Thu Dec 12 17:23:21 GMT 2024","passed","Thu Dec 12 17:23:31 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProductFromCart"
"Проверка входа в магазин юзера с позитивным входом","515","checkCorrectLogin","Surefire suite","Thu Dec 12 17:23:13 GMT 2024","passed","Thu Dec 12 17:23:14 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkCorrectLogin"
"Проверка входа с пустым Password","451","checkLoginWithEmptyPassword","Surefire suite","Thu Dec 12 17:23:14 GMT 2024","passed","Thu Dec 12 17:23:15 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа с пустым User Name","441","checkLoginWithEmptyUserName","Surefire suite","Thu Dec 12 17:23:15 GMT 2024","passed","Thu Dec 12 17:23:15 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"","683","locatorTest","Surefire suite","Thu Dec 12 17:23:17 GMT 2024","passed","Thu Dec 12 17:23:17 GMT 2024","tests.LocatorTest","Surefire test","tests.LocatorTest","locatorTest"
"Позитивный тест на заполнение трех полей на странице Checkout: Your Information","799","checkFullInformation","Surefire suite","Thu Dec 12 17:23:07 GMT 2024","passed","Thu Dec 12 17:23:07 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkFullInformation"
"Проверка входа с не корректным полем User","449","checkNotCorrectUser","Surefire suite","Thu Dec 12 17:23:16 GMT 2024","passed","Thu Dec 12 17:23:16 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectUser"
"Переход из корзины на страницу Product","584","Переход из корзины на страницу Product","Surefire suite","Thu Dec 12 17:23:20 GMT 2024","passed","Thu Dec 12 17:23:20 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkButtonContinueShopping"
"Проверка двух товаров в корзине","697","checkAddTwoProductToCart","Surefire suite","Thu Dec 12 17:23:19 GMT 2024","passed","Thu Dec 12 17:23:19 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddTwoProductToCart"
"Проверка входа с не корректным полем Password","459","checkNotCorrectLogin","Surefire suite","Thu Dec 12 17:23:12 GMT 2024","passed","Thu Dec 12 17:23:13 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectLogin"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","774","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 17:23:09 GMT 2024","passed","Thu Dec 12 17:23:10 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка кнопки Remove на странице Product","10638","checkRemoveButtonO","Surefire suite","Thu Dec 12 17:23:33 GMT 2024","passed","Thu Dec 12 17:23:43 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkRemoveButtonO"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","749","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 17:23:11 GMT 2024","passed","Thu Dec 12 17:23:12 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка одного продукта в корзине","586","checkAddOneProductToCart","Surefire suite","Thu Dec 12 17:23:18 GMT 2024","passed","Thu Dec 12 17:23:18 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddOneProductToCart"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","745","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 17:23:10 GMT 2024","passed","Thu Dec 12 17:23:11 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка название товара, цены и общей стоимости товара","857","checkOverviewOneProductNameAndPrice","Surefire suite","Thu Dec 12 17:23:08 GMT 2024","passed","Thu Dec 12 17:23:09 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkOverviewOneProductNameAndPrice"
