"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","765","Тесты: пустое поле user,password,zipcode","Surefire suite","Mon Dec 16 15:30:05 GMT 2024","passed","Mon Dec 16 15:30:06 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка входа с пустым User Name","458","checkLoginWithEmptyUserName","Surefire suite","Mon Dec 16 15:30:09 GMT 2024","passed","Mon Dec 16 15:30:10 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","817","Тесты: пустое поле user,password,zipcode","Surefire suite","Mon Dec 16 15:30:03 GMT 2024","passed","Mon Dec 16 15:30:04 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка входа с не корректным полем User","468","checkNotCorrectUser","Surefire suite","Mon Dec 16 15:30:10 GMT 2024","passed","Mon Dec 16 15:30:10 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectUser"
"Проверка название товара, цены и общей стоимости товара","865","checkOverviewOneProductNameAndPrice","Surefire suite","Mon Dec 16 15:30:02 GMT 2024","passed","Mon Dec 16 15:30:03 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkOverviewOneProductNameAndPrice"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","798","Тесты: пустое поле user,password,zipcode","Surefire suite","Mon Dec 16 15:30:04 GMT 2024","passed","Mon Dec 16 15:30:05 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка кнопки Remove на странице Product","10623","checkRemoveButtonO","Surefire suite","Mon Dec 16 15:30:27 GMT 2024","passed","Mon Dec 16 15:30:38 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkRemoveButtonO"
"Проверка входа в магазин юзера с позитивным входом","528","checkCorrectLogin","Surefire suite","Mon Dec 16 15:30:07 GMT 2024","passed","Mon Dec 16 15:30:08 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkCorrectLogin"
"Позитивный тест на заполнение трех полей на странице Checkout: Your Information","855","checkFullInformation","Surefire suite","Mon Dec 16 15:30:00 GMT 2024","passed","Mon Dec 16 15:30:01 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkFullInformation"
"Проверка входа с пустым Password","458","checkLoginWithEmptyPassword","Surefire suite","Mon Dec 16 15:30:08 GMT 2024","passed","Mon Dec 16 15:30:09 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","724","locatorTest","Surefire suite","Mon Dec 16 15:30:11 GMT 2024","passed","Mon Dec 16 15:30:12 GMT 2024","tests.LocatorTest","Surefire test","tests.LocatorTest","locatorTest"
"Проверка входа с не корректным полем Password","469","checkNotCorrectLogin","Surefire suite","Mon Dec 16 15:30:07 GMT 2024","passed","Mon Dec 16 15:30:07 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectLogin"
"Проверка одного продукта в корзине","610","checkAddOneProductToCart","Surefire suite","Mon Dec 16 15:30:12 GMT 2024","passed","Mon Dec 16 15:30:13 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddOneProductToCart"
"Проверка двух товаров в корзине","708","checkAddTwoProductToCart","Surefire suite","Mon Dec 16 15:30:13 GMT 2024","passed","Mon Dec 16 15:30:14 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddTwoProductToCart"
"Проверка сообщения об успешном завершении покупки","3133","CheckCompleteCheckout","Surefire suite","Mon Dec 16 15:29:57 GMT 2024","passed","Mon Dec 16 15:30:00 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","CheckCompleteCheckout"
"Проверка отображения любого продукта на странице Product","485","checkProductPage","Surefire suite","Mon Dec 16 15:30:26 GMT 2024","passed","Mon Dec 16 15:30:27 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkProductPage"
"Переход из корзины на страницу Product","610","Переход из корзины на страницу Product","Surefire suite","Mon Dec 16 15:30:14 GMT 2024","passed","Mon Dec 16 15:30:15 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkButtonContinueShopping"
"Проверка удаления продукта из корзины","10682","checkRemoveProductFromCart","Surefire suite","Mon Dec 16 15:30:15 GMT 2024","passed","Mon Dec 16 15:30:26 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProductFromCart"
