"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Переход из корзины на страницу Product","546","Переход из корзины на страницу Product","Surefire suite","Fri Dec 13 14:03:29 GMT 2024","passed","Fri Dec 13 14:03:29 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkButtonContinueShopping"
"Проверка двух товаров в корзине","659","checkAddTwoProductToCart","Surefire suite","Fri Dec 13 14:03:28 GMT 2024","passed","Fri Dec 13 14:03:28 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddTwoProductToCart"
"Проверка входа с пустым User Name","392","checkLoginWithEmptyUserName","Surefire suite","Fri Dec 13 14:03:24 GMT 2024","passed","Fri Dec 13 14:03:25 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","712","Тесты: пустое поле user,password,zipcode","Surefire suite","Fri Dec 13 14:03:20 GMT 2024","passed","Fri Dec 13 14:03:20 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Позитивный тест на заполнение трех полей на странице Checkout: Your Information","768","checkFullInformation","Surefire suite","Fri Dec 13 14:03:16 GMT 2024","passed","Fri Dec 13 14:03:17 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkFullInformation"
"Проверка одного продукта в корзине","545","checkAddOneProductToCart","Surefire suite","Fri Dec 13 14:03:27 GMT 2024","passed","Fri Dec 13 14:03:27 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddOneProductToCart"
"Проверка кнопки Remove на странице Product","10601","checkRemoveButtonO","Surefire suite","Fri Dec 13 14:03:42 GMT 2024","passed","Fri Dec 13 14:03:52 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkRemoveButtonO"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","706","Тесты: пустое поле user,password,zipcode","Surefire suite","Fri Dec 13 14:03:21 GMT 2024","passed","Fri Dec 13 14:03:21 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка название товара, цены и общей стоимости товара","798","checkOverviewOneProductNameAndPrice","Surefire suite","Fri Dec 13 14:03:17 GMT 2024","passed","Fri Dec 13 14:03:18 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkOverviewOneProductNameAndPrice"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","730","Тесты: пустое поле user,password,zipcode","Surefire suite","Fri Dec 13 14:03:18 GMT 2024","passed","Fri Dec 13 14:03:19 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка входа с не корректным полем User","429","checkNotCorrectUser","Surefire suite","Fri Dec 13 14:03:25 GMT 2024","passed","Fri Dec 13 14:03:25 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectUser"
"","674","locatorTest","Surefire suite","Fri Dec 13 14:03:26 GMT 2024","passed","Fri Dec 13 14:03:27 GMT 2024","tests.LocatorTest","Surefire test","tests.LocatorTest","locatorTest"
"Проверка входа в магазин юзера с позитивным входом","480","checkCorrectLogin","Surefire suite","Fri Dec 13 14:03:23 GMT 2024","passed","Fri Dec 13 14:03:23 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkCorrectLogin"
"Проверка удаления продукта из корзины","10616","checkRemoveProductFromCart","Surefire suite","Fri Dec 13 14:03:30 GMT 2024","passed","Fri Dec 13 14:03:40 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProductFromCart"
"Проверка входа с не корректным полем Password","419","checkNotCorrectLogin","Surefire suite","Fri Dec 13 14:03:22 GMT 2024","passed","Fri Dec 13 14:03:22 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectLogin"
"Проверка отображения любого продукта на странице Product","453","checkProductPage","Surefire suite","Fri Dec 13 14:03:41 GMT 2024","passed","Fri Dec 13 14:03:41 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkProductPage"
"Проверка сообщения об успешном завершении покупки","1211","CheckCompleteCheckout","Surefire suite","Fri Dec 13 14:03:14 GMT 2024","passed","Fri Dec 13 14:03:16 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","CheckCompleteCheckout"
"Проверка входа с пустым Password","416","checkLoginWithEmptyPassword","Surefire suite","Fri Dec 13 14:03:23 GMT 2024","passed","Fri Dec 13 14:03:24 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
