"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка сообщения об успешном завершении покупки","1141","CheckCompleteCheckout","Surefire suite","Thu Dec 12 16:50:41 GMT 2024","passed","Thu Dec 12 16:50:42 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","CheckCompleteCheckout"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","737","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 16:50:46 GMT 2024","passed","Thu Dec 12 16:50:46 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка удаления продукта из корзины","10595","checkRemoveProductFromCart","Surefire suite","Thu Dec 12 16:50:56 GMT 2024","passed","Thu Dec 12 16:51:06 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProductFromCart"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","726","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 16:50:45 GMT 2024","passed","Thu Dec 12 16:50:45 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Позитивный тест на заполнение трех полей на странице Checkout: Your Information","761","checkFullInformation","Surefire suite","Thu Dec 12 16:50:42 GMT 2024","passed","Thu Dec 12 16:50:43 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkFullInformation"
"Проверка отображения любого продукта на странице Product","444","checkProductPage","Surefire suite","Thu Dec 12 16:51:07 GMT 2024","passed","Thu Dec 12 16:51:07 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkProductPage"
"Переход из корзины на страницу Product","556","Переход из корзины на страницу Product","Surefire suite","Thu Dec 12 16:50:55 GMT 2024","passed","Thu Dec 12 16:50:55 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkButtonContinueShopping"
"","659","locatorTest","Surefire suite","Thu Dec 12 16:50:52 GMT 2024","passed","Thu Dec 12 16:50:53 GMT 2024","tests.LocatorTest","Surefire test","tests.LocatorTest","locatorTest"
"Проверка одного продукта в корзине","567","checkAddOneProductToCart","Surefire suite","Thu Dec 12 16:50:53 GMT 2024","passed","Thu Dec 12 16:50:54 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddOneProductToCart"
"Проверка входа с пустым User Name","414","checkLoginWithEmptyUserName","Surefire suite","Thu Dec 12 16:50:50 GMT 2024","passed","Thu Dec 12 16:50:51 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка двух товаров в корзине","670","checkAddTwoProductToCart","Surefire suite","Thu Dec 12 16:50:54 GMT 2024","passed","Thu Dec 12 16:50:55 GMT 2024","tests.CartTest","Surefire test","tests.CartTest","checkAddTwoProductToCart"
"Проверка входа с не корректным полем User","431","checkNotCorrectUser","Surefire suite","Thu Dec 12 16:50:51 GMT 2024","passed","Thu Dec 12 16:50:52 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectUser"
"Проверка кнопки Remove на странице Product","10590","checkRemoveButtonO","Surefire suite","Thu Dec 12 16:51:08 GMT 2024","passed","Thu Dec 12 16:51:18 GMT 2024","tests.ProductPageTest","Surefire test","tests.ProductPageTest","checkRemoveButtonO"
"Проверка название товара, цены и общей стоимости товара","842","checkOverviewOneProductNameAndPrice","Surefire suite","Thu Dec 12 16:50:43 GMT 2024","passed","Thu Dec 12 16:50:44 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkOverviewOneProductNameAndPrice"
"Проверка входа в магазин юзера с позитивным входом","524","checkCorrectLogin","Surefire suite","Thu Dec 12 16:50:49 GMT 2024","passed","Thu Dec 12 16:50:49 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkCorrectLogin"
"Негативные тесты страницы Checkout:info. Тестирование пустое поле user, password, zipcode","721","Тесты: пустое поле user,password,zipcode","Surefire suite","Thu Dec 12 16:50:47 GMT 2024","passed","Thu Dec 12 16:50:47 GMT 2024","tests.CheckoutPageTest","Surefire test","tests.CheckoutPageTest","checkIncorrectInputInfo"
"Проверка входа с не корректным полем Password","424","checkNotCorrectLogin","Surefire suite","Thu Dec 12 16:50:48 GMT 2024","passed","Thu Dec 12 16:50:48 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkNotCorrectLogin"
"Проверка входа с пустым Password","435","checkLoginWithEmptyPassword","Surefire suite","Thu Dec 12 16:50:50 GMT 2024","passed","Thu Dec 12 16:50:50 GMT 2024","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
